date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:53	583/583	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Oct%202019%2015:56:52%20GMT	http://livedemo00.template-help.com/robots.txt		(from )
20:56:55	52781/52781	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202019%2015:56:53%20GMT	http://livedemo00.template-help.com/wt_61317_v1/	/home/x9sheikh/Desktop/clause/new_one_one/livedemo00.template-help.com/wt_61317_v1/index.html	(from )
20:56:55	4387/4387	---M-Z	200	added ('OK')	application/javascript	etag:%228242ea68a29f3bc1919f9cbf0f0e9c06%22	http://livedemo00.template-help.com/cdn-cgi/apps/head/3ts2ksMwXvKRuG480KNifJ2_JNM.js	/home/x9sheikh/Desktop/clause/new_one_one/livedemo00.template-help.com/cdn-cgi/apps/head/3ts2ksMwXvKRuG480KNifJ2_JNM.js	(from http://livedemo00.template-help.com/wt_61317_v1/)
20:56:56	258/258	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202019%2015:56:56%20GMT	http://livedemo00.template-help.com/wt_61317_v1/images/favicon.ico	/home/x9sheikh/Desktop/clause/new_one_one/livedemo00.template-help.com/wt_61317_v1/images/favicon.ico	(from http://livedemo00.template-help.com/wt_61317_v1/)
20:56:57	894/894	---M--	200	added ('OK')	image/x-icon	etag:%225b227bcf-37e%22	http://static.livedemo00.template-help.com/wt_61317_v1/images/favicon.ico	/home/x9sheikh/Desktop/clause/new_one_one/static.livedemo00.template-help.com/wt_61317_v1/images/favicon.ico	(from http://livedemo00.template-help.com/wt_61317_v1/)
20:57:14	2504/2504	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Oct%202019%2015:57:13%20GMT	http://fonts.googleapis.com/css?family=PT+Serif:400,700,400italic,700italic%7CLato:300,300italic,400,400italic,700,900%7CMerriweather:700italic	/home/x9sheikh/Desktop/clause/new_one_one/fonts.googleapis.com/css77ac.css	(from http://livedemo00.template-help.com/wt_61317_v1/)
20:57:14	258/258	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202019%2015:57:14%20GMT	http://livedemo00.template-help.com/wt_61317_v1/css/fonts.css	/home/x9sheikh/Desktop/clause/new_one_one/livedemo00.template-help.com/wt_61317_v1/css/fonts.4.delayed	(from http://livedemo00.template-help.com/wt_61317_v1/)
20:57:16	179942/179942	---MCZ	200	added ('OK')	text/css	etag:W/%225b227bcf-2bee6%22	http://static.livedemo00.template-help.com/wt_61317_v1/css/fonts.css	/home/x9sheikh/Desktop/clause/new_one_one/static.livedemo00.template-help.com/wt_61317_v1/css/fonts.css	(from http://livedemo00.template-help.com/wt_61317_v1/)
20:57:16	258/258	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202019%2015:57:16%20GMT	http://livedemo00.template-help.com/wt_61317_v1/css/bootstrap.css	/home/x9sheikh/Desktop/clause/new_one_one/livedemo00.template-help.com/wt_61317_v1/css/bootstrap.css	(from http://livedemo00.template-help.com/wt_61317_v1/)
20:57:17	162859/162859	---MCZ	200	added ('OK')	text/css	etag:W/%225b227bcf-27c2b%22	http://static.livedemo00.template-help.com/wt_61317_v1/css/bootstrap.css	/home/x9sheikh/Desktop/clause/new_one_one/static.livedemo00.template-help.com/wt_61317_v1/css/bootstrap.css	(from http://livedemo00.template-help.com/wt_61317_v1/)
20:57:18	258/258	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Oct%202019%2015:57:18%20GMT	http://livedemo00.template-help.com/wt_61317_v1/css/style.css	/home/x9sheikh/Desktop/clause/new_one_one/livedemo00.template-help.com/wt_61317_v1/css/style.css	(from http://livedemo00.template-help.com/wt_61317_v1/)
20:57:21	52781/52781	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202019%2015:57:20%20GMT	http://livedemo00.template-help.com/wt_61317_v1/index.html	/home/x9sheikh/Desktop/clause/new_one_one/livedemo00.template-help.com/wt_61317_v1/index-2.html	(from http://livedemo00.template-help.com/wt_61317_v1/)
